dt_iso,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_main,weather_description
2018-12-31 00:00:00,3.27,10000.0,-0.64,0.35,2.56,3.79,1025,75,3.1,140,100,Clouds,overcast clouds
2018-12-31 01:00:00,3.65,10000.0,-0.48,0.45,2.0,4.34,1026,74,3.6,160,100,Clouds,overcast clouds
2018-12-31 02:00:00,3.72,10000.0,-0.26,0.89,1.12,4.34,1026,75,3.1,180,100,Clouds,overcast clouds
2018-12-31 03:00:00,3.62,10000.0,-0.34,1.65,0.35,4.34,1026,75,2.1,160,0,Clear,sky is clear
2018-12-31 04:00:00,3.39,10000.0,-0.38,0.49,-1.21,4.34,1026,76,3.1,170,0,Clear,sky is clear
2018-12-31 05:00:00,3.36,10000.0,-0.73,0.87,-1.25,4.34,1026,74,2.6,200,0,Clear,sky is clear
2018-12-31 06:00:00,3.38,10000.0,-0.88,1.37,-1.25,4.34,1026,73,2.1,200,0,Clear,sky is clear
2018-12-31 07:00:00,3.07,10000.0,-0.81,1.01,-1.81,4.34,1027,75,2.1,200,0,Clear,sky is clear
2018-12-31 08:00:00,2.98,10000.0,-0.73,0.35,-1.81,4.34,1028,76,2.68,239,0,Clear,sky is clear
2018-12-31 09:00:00,2.87,10000.0,-0.67,1.46,-2.36,4.34,1027,77,1.54,240,0,Clear,sky is clear
2018-12-31 10:00:00,2.79,10000.0,-0.58,1.37,-2.36,4.34,1027,78,1.54,90,0,Clear,sky is clear
2018-12-31 11:00:00,2.32,10000.0,-0.23,-1.45,-2.92,4.34,1028,83,4.02,162,75,Clouds,broken clouds
2018-12-31 12:00:00,3.41,10000.0,0.63,0.93,-2.92,5.06,1029,82,2.6,50,100,Clouds,overcast clouds
2018-12-31 13:00:00,3.72,10000.0,1.1,0.87,-2.36,5.06,1029,83,3.13,136,75,Clouds,broken clouds
2018-12-31 14:00:00,4.36,10000.0,1.56,2.38,-0.7,6.0,1029,82,2.24,188,100,Clouds,overcast clouds
2018-12-31 15:00:00,5.65,10000.0,1.57,1.8,0.97,6.78,1029,75,5.81,165,75,Clouds,broken clouds
2018-12-31 16:00:00,6.35,10000.0,1.48,2.68,2.64,7.57,1028,71,5.81,128,100,Clouds,overcast clouds
2018-12-31 17:00:00,6.74,10000.0,1.46,3.45,4.86,7.57,1027,69,5.14,170,100,Clouds,overcast clouds
2018-12-31 18:00:00,7.07,10000.0,1.98,3.77,5.97,7.6,1026,70,5.36,177,100,Clouds,overcast clouds
2018-12-31 19:00:00,6.84,10000.0,2.53,2.98,5.89,7.12,1025,74,6.71,150,100,Rain,light rain
2018-12-31 20:00:00,6.28,8046.0,3.09,2.87,5.53,6.78,1025,80,5.14,140,100,Rain,light rain
2018-12-31 21:00:00,6.28,10000.0,3.61,3.66,4.79,6.78,1024,83,3.6,170,100,Rain,light rain
2018-12-31 22:00:00,6.32,8046.0,3.99,3.71,5.42,6.78,1022,85,3.6,130,100,Rain,moderate rain
2018-12-31 22:00:00,6.32,8046.0,3.99,3.71,5.42,6.78,1022,85,3.6,130,100,Mist,mist
2018-12-31 23:00:00,6.31,8046.0,4.63,3.15,5.42,6.79,1022,89,4.63,120,100,Rain,moderate rain
2018-12-31 23:00:00,6.31,8046.0,4.63,3.15,5.42,6.79,1022,89,4.63,120,100,Mist,mist
2019-01-01 00:00:00,6.67,4828.0,5.31,3.85,5.57,7.05,1021,91,4.12,130,100,Rain,moderate rain
2019-01-01 00:00:00,6.67,4828.0,5.31,3.85,5.57,7.05,1021,91,4.12,130,100,Mist,mist
2019-01-01 01:00:00,6.71,8046.0,5.5,2.81,5.79,7.05,1018,92,6.71,130,100,Rain,heavy intensity rain
2019-01-01 01:00:00,6.71,8046.0,5.5,2.81,5.79,7.05,1018,92,6.71,130,100,Mist,mist
2019-01-01 02:00:00,6.98,1207.0,5.93,3.33,6.45,7.26,1017,93,6.2,130,100,Rain,heavy intensity rain
2019-01-01 02:00:00,6.98,1207.0,5.93,3.33,6.45,7.26,1017,93,6.2,130,100,Mist,mist
2019-01-01 03:00:00,7.18,6437.0,5.97,3.59,6.46,7.78,1014,92,6.2,120,100,Rain,heavy intensity rain
2019-01-01 03:00:00,7.18,6437.0,5.97,3.59,6.46,7.78,1014,92,6.2,120,100,Mist,mist
2019-01-01 04:00:00,7.74,6437.0,6.84,5.44,6.68,8.16,1012,94,3.6,40,100,Mist,mist
2019-01-01 04:00:00,7.74,6437.0,6.84,5.44,6.68,8.16,1012,94,3.6,40,100,Rain,moderate rain
2019-01-01 05:00:00,8.28,3218.0,7.37,5.29,7.08,9.34,1009,94,5.36,153,100,Mist,mist
2019-01-01 05:00:00,8.28,3218.0,7.37,5.29,7.08,9.34,1009,94,5.36,153,100,Rain,heavy intensity rain
2019-01-01 06:00:00,8.71,4828.0,7.95,6.01,7.08,9.9,1008,95,4.92,188,100,Rain,moderate rain
2019-01-01 06:00:00,8.71,4828.0,7.95,6.01,7.08,9.9,1008,95,4.92,188,100,Mist,mist
2019-01-01 07:00:00,9.82,10000.0,8.74,6.79,7.08,11.01,1006,93,6.71,213,100,Mist,mist
2019-01-01 07:00:00,9.82,10000.0,8.74,6.79,7.08,11.01,1006,93,6.71,213,100,Rain,light rain
2019-01-01 08:00:00,10.5,6437.0,9.58,10.06,7.79,11.5,1004,94,8.05,208,100,Mist,mist
2019-01-01 09:00:00,10.76,6437.0,9.83,10.35,8.39,12.0,1004,94,6.71,250,100,Mist,mist
2019-01-01 09:00:00,10.76,6437.0,9.83,10.35,8.39,12.0,1004,94,6.71,250,100,Rain,light rain
2019-01-01 10:00:00,11.93,9656.0,10.83,11.61,9.86,12.78,1003,93,7.15,253,100,Mist,mist
2019-01-01 10:00:00,11.93,9656.0,10.83,11.61,9.86,12.78,1003,93,7.15,253,100,Rain,light rain
2019-01-01 11:00:00,12.83,10000.0,11.56,12.57,10.62,13.79,1004,92,7.72,270,100,Clouds,overcast clouds
2019-01-01 12:00:00,13.52,10000.0,11.4,13.2,11.53,14.34,1004,87,8.23,250,0,Rain,light rain
2019-01-01 13:00:00,13.74,10000.0,11.09,13.36,12.0,14.8,1005,84,9.8,240,75,Clouds,broken clouds
2019-01-01 14:00:00,14.09,10000.0,10.7,13.64,12.56,14.9,1006,80,8.8,250,100,Clouds,overcast clouds
2019-01-01 15:00:00,14.58,10000.0,8.96,13.9,13.64,15.78,1007,69,10.8,270,75,Clouds,broken clouds
2019-01-01 16:00:00,14.33,10000.0,7.39,13.46,13.67,14.9,1008,63,11.83,290,40,Rain,light rain
2019-01-01 17:00:00,13.27,10000.0,4.17,12.06,12.25,14.23,1009,54,10.3,340,0,Clear,sky is clear
2019-01-01 18:00:00,12.99,10000.0,3.1,11.68,11.45,14.27,1010,51,9.3,320,0,Rain,light rain
2019-01-01 19:00:00,10.9,10000.0,2.48,9.51,9.47,12.57,1012,56,12.9,10,75,Clouds,broken clouds
2019-01-01 20:00:00,9.47,10000.0,0.64,5.24,8.19,10.9,1014,54,11.32,320,75,Clouds,broken clouds
2019-01-01 21:00:00,8.49,10000.0,-0.02,3.71,7.64,9.27,1016,55,12.4,320,20,Clouds,few clouds
2019-01-01 22:00:00,7.39,10000.0,-0.71,2.93,6.53,8.12,1017,56,9.3,330,75,Rain,light rain
2019-01-01 23:00:00,7.04,10000.0,-0.37,2.91,5.97,7.78,1018,59,7.72,310,75,Clouds,broken clouds
2019-01-02 00:00:00,6.74,10000.0,-0.21,2.52,5.42,7.05,1019,61,7.72,310,40,Clouds,scattered clouds
2019-01-02 01:00:00,6.36,10000.0,-0.53,2.55,5.06,6.99,1020,61,6.2,320,40,Clouds,scattered clouds
2019-01-02 02:00:00,6.04,10000.0,-1.41,1.95,5.03,6.78,1021,58,6.71,330,0,Clear,sky is clear
2019-01-02 03:00:00,5.69,10000.0,-1.91,1.16,4.47,6.49,1021,57,7.72,300,20,Clouds,few clouds
2019-01-02 04:00:00,5.23,10000.0,-2.5,1.11,3.95,5.89,1021,56,6.2,310,100,Clouds,overcast clouds
2019-01-02 05:00:00,4.44,10000.0,-2.14,-0.46,3.19,4.83,1022,61,7.72,330,75,Clouds,broken clouds
2019-01-02 06:00:00,3.64,10000.0,-2.61,-0.17,2.64,4.27,1023,62,4.63,330,0,Clear,sky is clear
2019-01-02 07:00:00,3.39,10000.0,-3.02,-0.75,2.08,4.19,1024,61,5.14,320,0,Clear,sky is clear
2019-01-02 08:00:00,3.0,10000.0,-3.54,-2.51,1.68,3.78,1024,60,8.23,330,0,Clear,sky is clear
2019-01-02 09:00:00,2.78,10000.0,-4.12,-1.51,1.17,3.16,1025,58,5.14,330,0,Clear,sky is clear
2019-01-02 10:00:00,2.28,10000.0,-4.34,-1.21,0.62,3.09,1025,59,3.6,350,0,Clear,sky is clear
2019-01-02 11:00:00,1.89,10000.0,-4.67,-3.14,-0.14,3.09,1026,59,6.2,290,0,Clear,sky is clear
2019-01-02 12:00:00,1.78,10000.0,-4.56,-2.48,-0.7,2.78,1027,60,4.63,30,0,Clear,sky is clear
2019-01-02 13:00:00,1.62,10000.0,-4.5,-2.02,-1.21,2.78,1028,61,3.6,40,0,Clear,sky is clear
2019-01-02 14:00:00,2.0,10000.0,-4.18,-1.9,0.42,2.79,1028,61,4.12,40,0,Clear,sky is clear
2019-01-02 15:00:00,2.28,10000.0,-4.34,-1.21,0.97,3.78,1028,59,3.6,40,0,Clear,sky is clear
2019-01-02 16:00:00,2.65,10000.0,-4.44,-1.1,1.45,3.78,1028,57,4.12,280,0,Clear,sky is clear
2019-01-02 17:00:00,3.17,10000.0,-4.42,-0.13,1.45,5.78,1028,55,3.6,60,0,Clear,sky is clear
2019-01-02 18:00:00,3.12,10000.0,-5.12,0.17,2.0,5.39,1027,52,3.1,80,0,Clear,sky is clear
2019-01-02 19:00:00,3.71,10000.0,-4.63,1.28,2.56,4.79,1026,52,2.6,260,0,Clear,sky is clear
2019-01-02 20:00:00,3.62,10000.0,-4.27,0.42,2.56,4.27,1026,54,3.6,200,0,Clear,sky is clear
2019-01-02 21:00:00,3.36,10000.0,-3.84,0.1,2.56,3.8,1025,57,3.6,180,40,Clouds,scattered clouds
2019-01-02 22:00:00,2.91,10000.0,-3.62,-0.78,2.0,3.23,1025,60,4.12,130,40,Clouds,scattered clouds
2019-01-02 23:00:00,2.83,10000.0,-3.68,-1.95,2.0,3.24,1025,60,6.2,180,100,Clouds,overcast clouds
2019-01-03 00:00:00,2.85,10000.0,-3.86,-0.86,2.0,3.16,1025,59,4.12,150,100,Clouds,overcast clouds
2019-01-03 01:00:00,2.95,10000.0,-3.78,-1.57,2.56,3.24,1023,59,5.7,180,100,Clouds,overcast clouds
2019-01-03 02:00:00,3.22,10000.0,-3.36,-1.85,2.56,3.78,1022,60,7.2,180,100,Clouds,overcast clouds
2019-01-03 03:00:00,3.56,10000.0,-2.68,0.34,2.64,4.23,1021,62,3.6,140,100,Clouds,overcast clouds
2019-01-03 04:00:00,4.04,10000.0,-1.9,0.61,3.19,4.34,1020,64,4.12,160,100,Clouds,overcast clouds
